Group,population,Married by percent,Widowed by percent,Divorced by percent,Separated by percent,Never married by percent
        Males 15 years and over,"134,829,992",49.80%,2.60%,9.00%,1.40%,37.20%
            15 to 19 years,"11,167,522",1.00%,0.00%,0.00%,0.10%,98.90%
            20 to 34 years,"34,518,927",25.70%,0.10%,2.10%,0.70%,71.30%
            35 to 44 years,"22,262,365",60.00%,0.40%,8.40%,2.00%,29.30%
            45 to 54 years,"20,300,592",66.00%,0.90%,13.70%,2.30%,17.10%
            55 to 64 years,"20,655,942",65.90%,2.50%,16.30%,2.00%,13.20%
            65 years and over,"25,924,644",68.50%,10.30%,13.10%,1.30%,6.90%
        Females 15 years and over,"139,108,843",46.30%,8.30%,11.90%,1.90%,31.60%
            15 to 19 years,"10,618,136",1.10%,0.00%,0.00%,0.10%,98.70%
            20 to 34 years,"33,160,377",32.00%,0.20%,3.10%,1.20%,63.50%
            35 to 44 years,"21,785,279",61.40%,0.80%,11.20%,3.00%,23.60%
            45 to 54 years,"20,175,854",63.00%,2.40%,17.20%,3.10%,14.30%
            55 to 64 years,"21,471,526",60.20%,6.80%,19.80%,2.60%,10.60%
            65 years and over,"31,897,671",46.10%,29.50%,16.80%,1.20%,6.40%
